,N,Z,A,EL,avEbind,nome
0,0,1,1,H,0.0,h1
1,1,1,2,H,1.1122830000000001,h2
2,2,1,3,H,2.827266,h3
3,1,2,3,He,2.572681,he3
5,3,1,4,H,1.4003510000000001,h4
6,2,2,4,He,7.073915,he4
7,1,3,4,Li,1.153761,li4
8,4,1,5,H,1.33636,h5
9,3,2,5,He,5.481132,he5
10,2,3,5,Li,5.266132,li5
12,5,1,6,H,0.9636330000000001,h6
13,4,2,6,He,4.878017,he6
14,3,3,6,Li,5.332345,li6
15,2,4,6,Be,4.487261999999999,be6
18,5,2,7,He,4.11907,he7
19,4,3,7,Li,5.606291000000001,li7
20,3,4,7,Be,5.3713999999999995,be7
21,2,5,7,B,3.5313059999999994,b7
22,6,2,8,He,3.9259749999999998,he8
23,5,3,8,Li,5.159582,li8
24,4,4,8,Be,7.062435000000001,be8
25,3,5,8,B,4.717164,b8
26,2,6,8,C,3.0978000000000003,c8
27,7,2,9,He,3.348637,he9
28,6,3,9,Li,5.037839,li9
29,5,4,9,Be,6.462758000000001,be9
30,4,5,9,B,6.25716,b9
31,3,6,9,C,4.337476,c9
32,8,2,10,He,3.0339270000000003,he10
33,7,3,10,Li,4.531555,li10
34,6,4,10,Be,6.497710999999999,be10
35,5,5,10,B,6.475071,b10
36,4,6,10,C,6.032041,c10
37,3,7,10,N,3.6436599999999997,n10
38,8,3,11,Li,4.149104,li11
39,7,4,11,Be,5.952821999999999,be11
40,6,5,11,B,6.9277109999999995,b11
41,5,6,11,C,6.6763699999999995,c11
42,4,7,11,N,5.364045,n11
44,8,4,12,Be,5.720826,be12
45,7,5,12,B,6.631264,b12
46,6,6,12,C,7.680144,c12
47,5,7,12,N,6.170108,n12
48,4,8,12,O,4.87909,o12
49,9,4,13,Be,5.27307,be13
50,8,5,13,B,6.496401999999999,b13
51,7,6,13,C,7.469849,c13
52,6,7,13,N,7.238863,n13
53,5,8,13,O,5.811994,o13
54,10,4,14,Be,4.993897,be14
55,9,5,14,B,6.101645,b14
56,8,6,14,C,7.520319000000001,c14
57,7,7,14,N,7.475614,n14
58,6,8,14,O,7.052308000000001,o14
61,10,5,15,B,5.87905,b15
62,9,6,15,C,7.100169,c15
63,8,7,15,N,7.699459,n15
64,7,8,15,O,7.463691999999999,o15
65,6,9,15,F,6.483550999999999,f15
67,11,5,16,B,5.509228,b16
68,10,6,16,C,6.922054,c16
69,9,7,16,N,7.373812,n16
70,8,8,16,O,7.976206,o16
71,7,9,16,F,6.963731,f16
72,6,10,16,Ne,6.082571999999999,ne16
73,12,5,17,B,5.266461,b17
74,11,6,17,C,6.557616,c17
75,10,7,17,N,7.2861530000000005,n17
76,9,8,17,O,7.750731,o17
77,8,9,17,F,7.542328,f17
78,7,10,17,Ne,6.642825,ne17
80,12,6,18,C,6.425746999999999,c18
81,11,7,18,N,7.0384899999999995,n18
82,10,8,18,O,7.767024999999999,o18
83,9,9,18,F,7.6316049999999995,f18
84,8,10,18,Ne,7.341282,ne18
85,7,11,18,Na,6.249329,na18
87,13,6,19,C,6.117909000000001,c19
88,12,7,19,N,6.9482349999999995,n19
89,11,8,19,O,7.566389,o19
90,10,9,19,F,7.779015,f19
91,9,10,19,Ne,7.567375,ne19
92,8,11,19,Na,6.938021,na19
93,7,12,19,Mg,5.8382510000000005,mg19
94,14,6,20,C,5.9587330000000005,c20
95,13,7,20,N,6.709239999999999,n20
96,12,8,20,O,7.568505,o20
97,11,9,20,F,7.720130999999999,f20
98,10,10,20,Ne,8.03224,ne20
99,9,11,20,Na,7.298641,na20
100,8,12,20,Mg,6.723392,mg20
102,14,7,21,N,6.608099,n21
103,13,8,21,O,7.389332,o21
104,12,9,21,F,7.73829,f21
105,11,10,21,Ne,7.971713,ne21
106,10,11,21,Na,7.765524,na21
107,9,12,21,Mg,7.1047139999999995,mg21
110,15,7,22,N,6.366085,n22
111,14,8,22,O,7.364821,o22
112,13,9,22,F,7.624294,f22
113,12,10,22,Ne,8.080465,ne22
114,11,11,22,Na,7.915709,na22
115,10,12,22,Mg,7.662626,mg22
119,15,8,23,O,7.16385,o23
120,14,9,23,F,7.62041,f23
121,13,10,23,Ne,7.955255,ne23
122,12,11,23,Na,8.111493000000001,na23
123,11,12,23,Mg,7.9011260000000005,mg23
124,10,13,23,Al,7.334791999999999,al23
127,16,8,24,O,7.015935000000001,o24
128,15,9,24,F,7.462956999999999,f24
129,14,10,24,Ne,7.9933190000000005,ne24
130,13,11,24,Na,8.063496,na24
131,12,12,24,Mg,8.260709,mg24
132,11,13,24,Al,7.649919,al24
133,10,14,24,Si,7.166836999999999,si24
137,16,9,25,F,7.338764,f25
138,15,10,25,Ne,7.842701,ne25
139,14,11,25,Na,8.101397,na25
140,13,12,25,Mg,8.223504,mg25
141,12,13,25,Al,8.021144,al25
142,11,14,25,Si,7.48023,si25
145,17,9,26,F,7.0977440000000005,f26
146,16,10,26,Ne,7.753890999999999,ne26
147,15,11,26,Na,8.00426,na26
148,14,12,26,Mg,8.333872,mg26
149,13,13,26,Al,8.149771,al26
150,12,14,26,Si,7.924847,si26
154,18,9,27,F,6.8873180000000005,f27
155,17,10,27,Ne,7.519709,ne27
156,16,11,27,Na,7.956933000000001,na27
157,15,12,27,Mg,8.263853999999998,mg27
158,14,13,27,Al,8.331545,al27
159,13,14,27,Si,8.124334,si27
160,12,15,27,P,7.663236999999999,p27
164,18,10,28,Ne,7.390314999999999,ne28
165,17,11,28,Na,7.799296999999999,na28
166,16,12,28,Mg,8.272405999999998,mg28
167,15,13,28,Al,8.309886,al28
168,14,14,28,Si,8.447744,si28
169,13,15,28,P,7.907873,p28
170,12,16,28,S,7.47879,s28
173,19,10,29,Ne,7.178857,ne29
174,18,11,29,Na,7.6826680000000005,na29
175,17,12,29,Mg,8.113761,mg29
176,16,13,29,Al,8.348725,al29
177,15,14,29,Si,8.448634,si29
178,14,15,29,P,8.251228000000001,p29
179,13,16,29,S,7.748629,s29
182,20,10,30,Ne,7.040467,ne30
183,19,11,30,Na,7.505754,na30
184,18,12,30,Mg,8.055401,mg30
185,17,13,30,Al,8.261381,al30
186,16,14,30,Si,8.520653,si30
187,15,15,30,P,8.353496,p30
188,14,16,30,S,8.122817,s30
193,20,11,31,Na,7.385491999999999,na31
194,19,12,31,Mg,7.87226,mg31
195,18,13,31,Al,8.225610999999999,al31
196,17,14,31,Si,8.458290000000002,si31
197,16,15,31,P,8.481178,p31
198,15,16,31,S,8.281869,s31
199,14,17,31,Cl,7.870260999999999,cl31
202,21,11,32,Na,7.206621,na32
203,20,12,32,Mg,7.807774,mg32
204,19,13,32,Al,8.099175,al32
205,18,14,32,Si,8.481569,si32
206,17,15,32,P,8.464129999999999,p32
207,16,16,32,S,8.493134,s32
208,15,17,32,Cl,8.072251,cl32
209,14,18,32,Ar,7.700003000000001,ar32
212,22,11,33,Na,7.056314,na33
213,21,12,33,Mg,7.638522,mg33
214,20,13,33,Al,8.021586,al33
215,19,14,33,Si,8.360402,si33
216,18,15,33,P,8.513811,p33
217,17,16,33,S,8.497634,s33
218,16,17,33,Cl,8.304758,cl33
219,15,18,33,Ar,7.9289499999999995,ar33
223,22,12,34,Mg,7.536118,mg34
224,21,13,34,Al,7.858434,al34
225,20,14,34,Si,8.336138,si34
226,19,15,34,P,8.448449,p34
227,18,16,34,S,8.583501,s34
228,17,17,34,Cl,8.398961,cl34
229,16,18,34,Ar,8.19764,ar34
234,22,13,35,Al,7.784451,al35
235,21,14,35,Si,8.168673,si35
236,20,15,35,P,8.446247,p35
237,19,16,35,S,8.537855,s35
238,18,17,35,Cl,8.520278000000001,cl35
239,17,18,35,Ar,8.327465,ar35
240,16,19,35,K,7.965726,k35
244,23,13,36,Al,7.6281930000000004,al36
245,22,14,36,Si,8.113807,si36
246,21,15,36,P,8.307866,p36
247,20,16,36,S,8.575387,s36
248,19,17,36,Cl,8.521927,cl36
249,18,18,36,Ar,8.519909,ar36
250,17,19,36,K,8.142472,k36
251,16,20,36,Ca,7.815550999999999,ca36
255,24,13,37,Al,7.5276190000000005,al37
256,23,14,37,Si,7.953131999999999,si37
257,22,15,37,P,8.267505,p37
258,21,16,37,S,8.459934,s37
259,20,17,37,Cl,8.57028,cl37
260,19,18,37,Ar,8.527139000000002,ar37
261,18,19,37,K,8.339846999999999,k37
262,17,20,37,Ca,8.00415,ca37
265,25,13,38,Al,7.3812880000000005,al38
266,24,14,38,Si,7.890118,si38
267,23,15,38,P,8.15086,p38
268,22,16,38,S,8.448782,s38
269,21,17,38,Cl,8.50548,cl38
270,20,18,38,Ar,8.614273,ar38
271,19,19,38,K,8.438056999999999,k38
272,18,20,38,Ca,8.240062,ca38
276,26,13,39,Al,7.261909,al39
277,25,14,39,Si,7.741034000000001,si39
278,24,15,39,P,8.10051,p39
279,23,16,39,S,8.344258,s39
280,22,17,39,Cl,8.494402000000001,cl39
281,21,18,39,Ar,8.562593000000001,ar39
282,20,19,39,K,8.55702,k39
283,19,20,39,Ca,8.369457,ca39
284,18,21,39,Sc,8.013335999999999,sc39
288,26,14,40,Si,7.660819,si40
289,25,15,40,P,7.980608,p40
290,24,16,40,S,8.330043,s40
291,23,17,40,Cl,8.427764999999999,cl40
292,22,18,40,Ar,8.595259,ar40
293,21,19,40,K,8.538083,k40
294,20,20,40,Ca,8.551300999999999,ca40
295,19,21,40,Sc,8.173666,sc40
